ID,Expression,Answer
0,850+637,1487
1,511+270,781
2,308+41,349
3,76+17,93
4,176+813,989
5,649+912,1561
6,504+607,1111
7,970+729,1699
8,632+544,1176
9,560+935,1495
10,278+816,1094
11,671+3,674
12,394+857,1251
13,554+34,588
14,765+729,1494
15,846+176,1022
16,90+863,953
17,23+541,564
18,81+300,381
19,481+423,904
20,403+29,432
21,6+125,131
22,9+670,679
23,526+647,1173
24,258+615,873
25,764+384,1148
26,461+997,1458
27,805+980,1785
28,380+685,1065
29,950+650,1600
30,840+688,1528
31,704+389,1093
32,875+135,1010
33,579+721,1300
34,845+525,1370
35,376+310,686
36,423+486,909
37,719+889,1608
38,73+934,1007
39,531+358,889
40,673+571,1244
41,255+322,577
42,719+594,1313
43,504+338,842
44,760+392,1152
45,328+890,1218
46,264+227,491
47,714+623,1337
48,49+84,133
49,377+832,1209
50,401+787,1188
51,317+240,557
52,791+876,1667
53,80+59,139
54,671+336,1007
55,574+151,725
56,860+450,1310
57,895+796,1691
58,705+231,936
59,767+52,819
60,570+405,975
61,996+199,1195
62,946+91,1037
63,623+580,1203
64,899+299,1198
65,902+672,1574
66,890+200,1090
67,758+942,1700
68,49+365,414
69,636+106,742
70,510+629,1139
71,764+927,1691
72,410+440,850
73,474+954,1428
74,196+500,696
75,50+425,475
76,945+620,1565
77,350+995,1345
78,604+948,1552
79,17+460,477
80,835+757,1592
81,408+497,905
82,420+529,949
83,231+785,1016
84,78+415,493
85,282+734,1016
86,749+711,1460
87,924+932,1856
88,185+115,300
89,133+729,862
90,970+927,1897
91,668+967,1635
92,871+15,886
93,120+863,983
94,83+981,1064
95,827+957,1784
96,360+149,509
97,517+972,1489
98,367+890,1257
99,384+822,1206
100,230+480,710
101,327+233,560
102,892+802,1694
103,140+923,1063
104,971+266,1237
105,426+539,965
106,657+443,1100
107,149+931,1080
108,692+41,733
109,814+732,1546
110,184+614,798
111,502+29,531
112,927+719,1646
113,310+16,326
114,92+758,850
115,150+513,663
116,898+929,1827
117,268+67,335
118,495+841,1336
119,625+67,692
120,650+344,994
121,226+430,656
122,873+966,1839
123,141+562,703
124,761+259,1020
125,273+242,515
126,210+888,1098
127,219+226,445
128,126+125,251
129,778+289,1067
130,802+586,1388
131,858+554,1412
132,764+809,1573
133,61+560,621
134,455+289,744
135,452+413,865
136,492+818,1310
137,825+626,1451
138,710+959,1669
139,637+370,1007
140,83+553,636
141,232+594,826
142,26+848,874
143,944+146,1090
144,819+407,1226
145,42+910,952
146,940+44,984
147,593+822,1415
148,790+415,1205
149,860+829,1689
150,114+10,124
151,103+365,468
152,110+79,189
153,259+652,911
154,524+274,798
155,950+702,1652
156,634+943,1577
157,785+127,912
158,37+864,901
159,408+60,468
160,477+381,858
161,431+430,861
162,314+489,803
163,492+976,1468
164,693+775,1468
165,9+309,318
166,983+270,1253
167,510+863,1373
168,638+881,1519
169,165+511,676
170,635+344,979
171,574+994,1568
172,736+316,1052
173,64+183,247
174,272+880,1152
175,271+812,1083
176,274+668,942
177,527+958,1485
178,566+925,1491
179,962+748,1710
180,628+860,1488
181,996+247,1243
182,562+142,704
183,105+670,775
184,48+714,762
185,821+167,988
186,680+396,1076
187,893+910,1803
188,577+561,1138
189,710+578,1288
190,746+194,940
191,782+526,1308
192,752+523,1275
193,307+89,396
194,525+981,1506
195,36+571,607
196,447+7,454
197,544+772,1316
198,741+978,1719
199,529+590,1119
200,965+320,1285
201,798+188,986
202,362+672,1034
203,580+195,775
204,659+578,1237
205,920+602,1522
206,884+962,1846
207,88+73,161
208,503+500,1003
209,555+744,1299
210,316+178,494
211,680+388,1068
212,929+63,992
213,709+726,1435
214,271+88,359
215,318+395,713
216,979+873,1852
217,231+472,703
218,600+912,1512
219,135+766,901
220,925+915,1840
221,277+128,405
222,594+74,668
223,130+71,201
224,211+868,1079
225,672+634,1306
226,985+497,1482
227,40+164,204
228,261+674,935
229,357+318,675
230,113+711,824
231,25+460,485
232,744+507,1251
233,687+789,1476
234,225+93,318
235,57+579,636
236,264+198,462
237,735+808,1543
238,954+489,1443
239,523+988,1511
240,504+183,687
241,256+963,1219
242,44+801,845
243,647+481,1128
244,833+813,1646
245,440+603,1043
246,763+655,1418
247,486+913,1399
248,882+66,948
249,547+835,1382
250,85+382,467
251,509+326,835
252,695+994,1689
253,364+781,1145
254,118+486,604
255,6+423,429
256,15+877,892
257,969+87,1056
258,818+708,1526
259,301+789,1090
260,962+799,1761
261,692+322,1014
262,606+796,1402
263,714+226,940
264,412+362,774
265,695+418,1113
266,420+541,961
267,579+113,692
268,925+407,1332
269,176+1,177
270,435+744,1179
271,297+852,1149
272,200+139,339
273,391+704,1095
274,300+821,1121
275,21+981,1002
276,48+843,891
277,4+424,428
278,310+979,1289
279,655+974,1629
280,415+504,919
281,502+753,1255
282,509+913,1422
283,192+476,668
284,247+863,1110
285,138+701,839
286,911+294,1205
287,279+767,1046
288,591+571,1162
289,884+94,978
290,273+391,664
291,917+74,991
292,453+476,929
293,15+429,444
294,649+424,1073
295,306+586,892
296,980+123,1103
297,286+933,1219
298,297+684,981
299,352+823,1175
300,585+896,1481
301,637+583,1220
302,489+41,530
303,121+711,832
304,639+569,1208
305,117+826,943
306,796+532,1328
307,255+813,1068
308,522+997,1519
309,281+351,632
310,803+171,974
311,322+392,714
312,726+753,1479
313,788+439,1227
314,615+588,1203
315,772+128,900
316,318+726,1044
317,202+280,482
318,978+191,1169
319,998+863,1861
320,156+564,720
321,324+485,809
322,610+898,1508
323,931+86,1017
324,179+696,875
325,206+328,534
326,585+176,761
327,994+675,1669
328,228+363,591
329,648+330,978
330,622+943,1565
331,366+200,566
332,286+512,798
333,556+24,580
334,643+164,807
335,630+883,1513
336,194+789,983
337,34+557,591
338,667+223,890
339,781+558,1339
340,418+13,431
341,135+713,848
342,407+717,1124
343,961+646,1607
344,741+611,1352
345,300+74,374
346,613+247,860
347,121+574,695
348,610+394,1004
349,630+992,1622
350,758+923,1681
351,68+152,220
352,359+590,949
353,695+696,1391
354,906+137,1043
355,172+313,485
356,168+716,884
357,412+901,1313
358,284+342,626
359,299+239,538
360,840+821,1661
361,296+585,881
362,878+477,1355
363,902+256,1158
364,226+73,299
365,631+18,649
366,178+580,758
367,441+191,632
368,513+975,1488
369,983+108,1091
370,753+452,1205
371,466+395,861
372,837+233,1070
373,585+749,1334
374,414+644,1058
375,119+726,845
376,304+83,387
377,296+353,649
378,645+520,1165
379,833+427,1260
380,886+41,927
381,325+194,519
382,382+945,1327
383,136+163,299
384,408+852,1260
385,9+822,831
386,779+391,1170
387,43+467,510
388,701+824,1525
389,159+681,840
390,555+837,1392
391,710+757,1467
392,855+691,1546
393,394+913,1307
394,557+822,1379
395,103+179,282
396,547+748,1295
397,951+87,1038
398,860+426,1286
399,950+397,1347
400,919+202,1121
401,343+937,1280
402,984+95,1079
403,146+5,151
404,934+323,1257
405,531+990,1521
406,839+265,1104
407,374+830,1204
408,495+173,668
409,941+586,1527
410,776+958,1734
411,611+716,1327
412,858+980,1838
413,537+574,1111
414,669+983,1652
415,451+837,1288
416,278+778,1056
417,112+888,1000
418,340+631,971
419,142+357,499
420,96+528,624
421,986+227,1213
422,269+777,1046
423,189+170,359
424,216+577,793
425,504+536,1040
426,28+672,700
427,314+760,1074
428,833+110,943
429,295+625,920
430,175+414,589
431,350+614,964
432,743+694,1437
433,318+585,903
434,802+733,1535
435,788+520,1308
436,581+463,1044
437,612+287,899
438,460+229,689
439,504+695,1199
440,785+696,1481
441,175+196,371
442,374+971,1345
443,28+671,699
444,294+531,825
445,87+841,928
446,872+487,1359
447,780+476,1256
448,727+259,986
449,318+156,474
450,454+711,1165
451,781+844,1625
452,191+678,869
453,270+369,639
454,371+576,947
455,588+563,1151
456,65+936,1001
457,852+388,1240
458,572+165,737
459,635+877,1512
460,928+894,1822
461,56+49,105
462,737+199,936
463,189+636,825
464,60+789,849
465,179+607,786
466,630+192,822
467,401+118,519
468,980+506,1486
469,148+815,963
470,739+217,956
471,339+76,415
472,557+551,1108
473,53+192,245
474,455+68,523
475,742+773,1515
476,710+821,1531
477,801+398,1199
478,450+294,744
479,170+277,447
480,723+361,1084
481,996+577,1573
482,665+528,1193
483,797+355,1152
484,612+637,1249
485,866+676,1542
486,598+558,1156
487,55+387,442
488,312+624,936
489,316+592,908
490,499+340,839
491,507+303,810
492,217+546,763
493,988+612,1600
494,617+611,1228
495,882+383,1265
496,424+566,990
497,558+985,1543
498,180+428,608
499,211+843,1054
500,553+82,635
501,185+875,1060
502,443+941,1384
503,92+262,354
504,547+13,560
505,391+483,874
506,238+183,421
507,926+971,1897
508,500+897,1397
509,486+960,1446
510,44+604,648
511,43+515,558
512,883+832,1715
513,214+652,866
514,167+249,416
515,427+934,1361
516,671+440,1111
517,206+773,979
518,591+501,1092
519,654+184,838
520,913+296,1209
521,478+574,1052
522,175+143,318
523,475+14,489
524,604+434,1038
525,239+762,1001
526,326+614,940
527,210+324,534
528,626+717,1343
529,640+485,1125
530,252+999,1251
531,911+776,1687
532,292+830,1122
533,579+260,839
534,781+153,934
535,579+200,779
536,74+432,506
537,447+512,959
538,6+195,201
539,83+780,863
540,50+868,918
541,213+316,529
542,337+508,845
543,365+594,959
544,378+722,1100
545,989+148,1137
546,120+281,401
547,203+730,933
548,725+568,1293
549,993+900,1893
550,981+448,1429
551,554+407,961
552,283+307,590
553,743+232,975
554,147+651,798
555,537+265,802
556,303+862,1165
557,41+271,312
558,559+673,1232
559,574+568,1142
560,773+628,1401
561,628+895,1523
562,759+170,929
563,967+150,1117
564,944+122,1066
565,982+77,1059
566,886+534,1420
567,563+166,729
568,132+807,939
569,244+23,267
570,455+375,830
571,451+473,924
572,66+217,283
573,270+356,626
574,424+223,647
575,801+282,1083
576,438+926,1364
577,997+417,1414
578,388+386,774
579,356+611,967
580,639+664,1303
581,780+660,1440
582,270+85,355
583,412+582,994
584,916+736,1652
585,318+795,1113
586,655+588,1243
587,856+131,987
588,493+84,577
589,741+323,1064
590,773+927,1700
591,856+473,1329
592,620+895,1515
593,116+460,576
594,293+755,1048
595,987+485,1472
596,453+708,1161
597,255+317,572
598,166+889,1055
599,507+266,773
600,621+7,628
601,366+721,1087
602,963+676,1639
603,126+657,783
604,715+687,1402
605,140+586,726
606,389+116,505
607,983+669,1652
608,840+7,847
609,417+183,600
610,906+421,1327
611,663+378,1041
612,933+119,1052
613,130+427,557
614,584+623,1207
615,867+378,1245
616,949+708,1657
617,573+231,804
618,742+144,886
619,58+749,807
620,244+669,913
621,562+429,991
622,455+137,592
623,305+664,969
624,380+750,1130
625,947+164,1111
626,191+689,880
627,255+356,611
628,912+915,1827
629,924+751,1675
630,49+274,323
631,631+938,1569
632,258+26,284
633,700+185,885
634,882+242,1124
635,127+732,859
636,205+526,731
637,971+464,1435
638,296+223,519
639,494+756,1250
640,733+117,850
641,591+248,839
642,367+806,1173
643,825+451,1276
644,248+876,1124
645,854+602,1456
646,418+789,1207
647,394+188,582
648,950+316,1266
649,689+377,1066
650,972+494,1466
651,569+472,1041
652,883+822,1705
653,539+174,713
654,339+851,1190
655,975+889,1864
656,960+76,1036
657,420+10,430
658,67+293,360
659,579+401,980
660,408+970,1378
661,997+72,1069
662,348+781,1129
663,362+475,837
664,517+130,647
665,450+366,816
666,413+381,794
667,3+244,247
668,693+295,988
669,989+420,1409
670,362+962,1324
671,200+459,659
672,807+950,1757
673,930+31,961
674,502+67,569
675,426+28,454
676,284+666,950
677,843+221,1064
678,408+576,984
679,771+795,1566
680,995+332,1327
681,549+246,795
682,7+725,732
683,460+476,936
684,513+150,663
685,727+88,815
686,68+737,805
687,380+860,1240
688,826+890,1716
689,196+510,706
690,958+154,1112
691,836+226,1062
692,300+454,754
693,493+852,1345
694,841+650,1491
695,450+274,724
696,271+756,1027
697,367+436,803
698,297+982,1279
699,405+429,834
700,871+837,1708
701,126+15,141
702,867+718,1585
703,922+399,1321
704,216+499,715
705,172+199,371
706,713+929,1642
707,282+200,482
708,871+562,1433
709,671+597,1268
710,717+858,1575
711,88+467,555
712,821+830,1651
713,841+524,1365
714,252+956,1208
715,937+716,1653
716,436+912,1348
717,307+942,1249
718,728+802,1530
719,719+123,842
720,104+125,229
721,955+616,1571
722,919+271,1190
723,530+385,915
724,722+174,896
725,782+762,1544
726,665+854,1519
727,998+133,1131
728,831+517,1348
729,836+395,1231
730,67+790,857
731,146+465,611
732,712+731,1443
733,48+566,614
734,88+978,1066
735,516+420,936
736,402+987,1389
737,740+416,1156
738,728+183,911
739,400+782,1182
740,808+272,1080
741,494+566,1060
742,856+646,1502
743,522+200,722
744,493+35,528
745,651+987,1638
746,592+817,1409
747,394+124,518
748,387+848,1235
749,633+258,891
750,767+248,1015
751,251+772,1023
752,307+757,1064
753,999+846,1845
754,806+137,943
755,533+747,1280
756,883+470,1353
757,216+326,542
758,431+734,1165
759,156+845,1001
760,977+323,1300
761,899+155,1054
762,187+991,1178
763,587+919,1506
764,495+290,785
765,253+814,1067
766,93+90,183
767,612+912,1524
768,237+774,1011
769,685+197,882
770,699+296,995
771,516+595,1111
772,176+356,532
773,703+736,1439
774,197+592,789
775,115+207,322
776,930+610,1540
777,926+15,941
778,126+112,238
779,333+162,495
780,448+354,802
781,678+12,690
782,440+929,1369
783,852+240,1092
784,199+271,470
785,897+376,1273
786,135+940,1075
787,791+352,1143
788,630+431,1061
789,17+299,316
790,430+976,1406
791,514+365,879
792,143+84,227
793,601+658,1259
794,626+716,1342
795,148+372,520
796,517+212,729
797,674+409,1083
798,863+439,1302
799,266+995,1261
800,986+858,1844
801,509+621,1130
802,202+194,396
803,809+688,1497
804,498+759,1257
805,179+76,255
806,509+380,889
807,229+327,556
808,231+570,801
809,439+653,1092
810,22+182,204
811,366+470,836
812,813+992,1805
813,37+16,53
814,830+371,1201
815,908+334,1242
816,809+406,1215
817,68+869,937
818,169+438,607
819,243+883,1126
820,360+575,935
821,48+425,473
822,170+253,423
823,139+823,962
824,890+644,1534
825,502+213,715
826,564+130,694
827,459+126,585
828,149+909,1058
829,458+403,861
830,434+820,1254
831,481+895,1376
832,281+227,508
833,208+33,241
834,3+181,184
835,319+773,1092
836,368+16,384
837,402+564,966
838,13+192,205
839,952+766,1718
840,662+479,1141
841,225+549,774
842,763+294,1057
843,440+457,897
844,667+46,713
845,635+809,1444
846,56+907,963
847,606+752,1358
848,333+496,829
849,738+843,1581
850,599+4,603
851,543+666,1209
852,281+767,1048
853,775+327,1102
854,284+856,1140
855,690+1,691
856,270+632,902
857,623+301,924
858,902+628,1530
859,335+252,587
860,383+210,593
861,381+626,1007
862,790+497,1287
863,460+188,648
864,508+886,1394
865,662+882,1544
866,517+550,1067
867,108+706,814
868,903+451,1354
869,569+801,1370
870,342+834,1176
871,346+764,1110
872,774+243,1017
873,680+25,705
874,752+658,1410
875,35+411,446
876,857+894,1751
877,360+859,1219
878,881+534,1415
879,132+378,510
880,664+713,1377
881,999+709,1708
882,648+682,1330
883,755+842,1597
884,999+577,1576
885,228+516,744
886,880+517,1397
887,969+889,1858
888,842+367,1209
889,869+842,1711
890,433+505,938
891,629+86,715
892,1+449,450
893,602+291,893
894,878+528,1406
895,20+853,873
896,498+180,678
897,588+475,1063
898,49+582,631
899,692+770,1462
900,233+941,1174
901,824+551,1375
902,418+921,1339
903,450+337,787
904,496+764,1260
905,597+763,1360
906,385+551,936
907,348+174,522
908,436+386,822
909,875+291,1166
910,945+966,1911
911,157+644,801
912,719+909,1628
913,970+296,1266
914,570+429,999
915,531+567,1098
916,631+355,986
917,263+457,720
918,940+599,1539
919,771+29,800
920,100+340,440
921,6+1,7
922,587+483,1070
923,467+608,1075
924,822+93,915
925,756+242,998
926,700+804,1504
927,985+840,1825
928,663+388,1051
929,302+814,1116
930,179+277,456
931,273+706,979
932,993+545,1538
933,886+440,1326
934,878+656,1534
935,793+14,807
936,882+163,1045
937,344+294,638
938,840+680,1520
939,168+706,874
940,277+681,958
941,541+767,1308
942,899+80,979
943,653+106,759
944,921+855,1776
945,946+357,1303
946,612+568,1180
947,70+503,573
948,522+627,1149
949,259+77,336
950,25+770,795
951,711+124,835
952,906+681,1587
953,197+402,599
954,962+492,1454
955,8+672,680
956,963+371,1334
957,845+46,891
958,70+964,1034
959,332+523,855
960,258+742,1000
961,379+531,910
962,927+819,1746
963,974+565,1539
964,33+123,156
965,285+642,927
966,921+173,1094
967,112+823,935
968,592+681,1273
969,323+939,1262
970,623+629,1252
971,834+225,1059
972,693+557,1250
973,502+772,1274
974,276+712,988
975,805+342,1147
976,240+655,895
977,249+935,1184
978,85+685,770
979,449+367,816
980,556+910,1466
981,146+827,973
982,418+855,1273
983,757+107,864
984,221+291,512
985,86+790,876
986,520+275,795
987,742+74,816
988,39+683,722
989,753+799,1552
990,588+642,1230
991,189+345,534
992,139+560,699
993,678+22,700
994,173+563,736
995,576+856,1432
996,734+78,812
997,96+383,479
998,74+165,239
999,262+380,642
1000,742+13,755
1001,516+827,1343
1002,774+496,1270
1003,326+436,762
1004,564+602,1166
1005,952+850,1802
1006,730+291,1021
1007,606+268,874
1008,465+50,515
1009,269+267,536
1010,647+67,714
1011,283+42,325
1012,194+553,747
1013,262+184,446
1014,746+75,821
1015,132+916,1048
1016,968+149,1117
1017,813+95,908
1018,460+970,1430
1019,470+667,1137
1020,911+726,1637
1021,25+563,588
1022,121+71,192
1023,818+842,1660
1024,841+418,1259
1025,428+393,821
1026,845+136,981
1027,902+114,1016
1028,319+522,841
1029,9+569,578
1030,3+519,522
1031,184+613,797
1032,509+877,1386
1033,522+504,1026
1034,370+379,749
1035,629+257,886
1036,232+307,539
1037,543+561,1104
1038,453+795,1248
1039,136+441,577
1040,699+41,740
1041,171+188,359
1042,869+91,960
1043,595+334,929
1044,560+684,1244
1045,797+591,1388
1046,650+662,1312
1047,224+455,679
1048,942+110,1052
1049,140+296,436
1050,516+511,1027
1051,704+497,1201
1052,255+244,499
1053,664+825,1489
1054,985+433,1418
1055,768+845,1613
1056,603+266,869
1057,133+941,1074
1058,610+112,722
1059,417+769,1186
1060,499+21,520
1061,280+237,517
1062,437+870,1307
1063,356+350,706
1064,878+932,1810
1065,22+929,951
1066,260+800,1060
1067,188+396,584
1068,444+858,1302
1069,969+457,1426
1070,557+127,684
1071,62+852,914
1072,959+816,1775
1073,211+136,347
1074,539+866,1405
1075,913+519,1432
1076,418+743,1161
1077,906+268,1174
1078,562+216,778
1079,806+848,1654
1080,270+600,870
1081,230+148,378
1082,36+366,402
1083,354+859,1213
1084,716+468,1184
1085,218+337,555
1086,122+341,463
1087,431+824,1255
1088,888+454,1342
1089,293+948,1241
1090,928+312,1240
1091,848+756,1604
1092,394+286,680
1093,86+768,854
1094,446+18,464
1095,142+130,272
1096,806+259,1065
1097,604+870,1474
1098,422+323,745
1099,238+484,722
1100,808+107,915
1101,808+567,1375
1102,881+96,977
1103,987+142,1129
1104,345+801,1146
1105,570+244,814
1106,896+62,958
1107,530+602,1132
1108,967+147,1114
1109,162+53,215
1110,109+830,939
1111,531+397,928
1112,231+865,1096
1113,482+744,1226
1114,479+201,680
1115,162+85,247
1116,21+172,193
1117,637+495,1132
1118,669+358,1027
1119,271+832,1103
1120,862+469,1331
1121,872+555,1427
1122,706+388,1094
1123,17+755,772
1124,487+689,1176
1125,355+686,1041
1126,965+771,1736
1127,825+399,1224
1128,541+119,660
1129,921+818,1739
1130,517+346,863
1131,558+692,1250
1132,974+988,1962
1133,320+702,1022
1134,958+906,1864
1135,625+14,639
1136,45+604,649
1137,107+98,205
1138,999+872,1871
1139,327+960,1287
1140,557+35,592
1141,655+134,789
1142,350+832,1182
1143,986+687,1673
1144,301+981,1282
1145,15+756,771
1146,691+594,1285
1147,259+539,798
1148,242+10,252
1149,733+784,1517
1150,227+384,611
1151,931+107,1038
1152,914+547,1461
1153,518+370,888
1154,542+606,1148
1155,27+17,44
1156,836+165,1001
1157,940+540,1480
1158,270+610,880
1159,345+83,428
1160,934+636,1570
1161,940+841,1781
1162,320+287,607
1163,658+521,1179
1164,71+906,977
1165,537+703,1240
1166,934+207,1141
1167,942+966,1908
1168,596+342,938
1169,643+824,1467
1170,101+453,554
1171,106+789,895
1172,536+921,1457
1173,486+902,1388
1174,791+804,1595
1175,729+323,1052
1176,232+912,1144
1177,901+154,1055
1178,178+260,438
1179,52+646,698
1180,923+748,1671
1181,127+51,178
1182,901+269,1170
1183,806+369,1175
1184,780+847,1627
1185,876+2,878
1186,295+890,1185
1187,593+335,928
1188,904+616,1520
1189,25+935,960
1190,815+62,877
1191,976+545,1521
1192,952+222,1174
1193,125+702,827
1194,94+818,912
1195,297+247,544
1196,610+860,1470
1197,802+178,980
1198,769+480,1249
1199,632+132,764
1200,471+308,779
1201,247+374,621
1202,91+695,786
1203,703+317,1020
1204,664+530,1194
1205,606+651,1257
1206,669+785,1454
1207,602+294,896
1208,912+57,969
1209,623+237,860
1210,160+546,706
1211,540+877,1417
1212,653+657,1310
1213,516+607,1123
1214,583+32,615
1215,651+498,1149
1216,870+331,1201
1217,554+348,902
1218,604+959,1563
1219,308+164,472
1220,795+89,884
1221,469+305,774
1222,318+643,961
1223,365+270,635
1224,338+706,1044
1225,455+695,1150
1226,988+438,1426
1227,600+834,1434
1228,386+324,710
1229,456+623,1079
1230,595+540,1135
1231,189+72,261
1232,491+347,838
1233,36+563,599
1234,166+976,1142
1235,773+783,1556
1236,713+481,1194
1237,318+197,515
1238,265+270,535
1239,706+43,749
1240,999+581,1580
1241,371+424,795
1242,603+658,1261
1243,787+531,1318
1244,12+417,429
1245,783+352,1135
1246,298+41,339
1247,181+982,1163
1248,797+76,873
1249,964+26,990
1250,569+216,785
1251,602+137,739
1252,309+794,1103
1253,962+152,1114
1254,915+340,1255
1255,50+14,64
1256,663+931,1594
1257,350+321,671
1258,68+843,911
1259,464+961,1425
1260,822+727,1549
1261,718+261,979
1262,868+492,1360
1263,223+782,1005
1264,10+698,708
1265,996+827,1823
1266,734+545,1279
1267,153+657,810
1268,337+363,700
1269,975+192,1167
1270,953+697,1650
1271,562+3,565
1272,838+784,1622
1273,55+8,63
1274,256+617,873
1275,336+595,931
1276,652+106,758
1277,897+592,1489
1278,129+758,887
1279,460+536,996
1280,933+673,1606
1281,670+708,1378
1282,769+206,975
1283,978+926,1904
1284,716+328,1044
1285,31+584,615
1286,819+104,923
1287,753+996,1749
1288,159+654,813
1289,508+462,970
1290,940+566,1506
1291,81+28,109
1292,279+240,519
1293,796+974,1770
1294,470+81,551
1295,740+142,882
1296,796+573,1369
1297,356+774,1130
1298,57+853,910
1299,198+861,1059
1300,454+760,1214
1301,234+348,582
1302,991+581,1572
1303,324+813,1137
